track_id,title,artist,actor,energy,danceability,valence
1,Vaathi Coming,Anirudh,Vijay,0.95,0.64,0.58
2,Naa Ready,Anirudh,Vijay,0.80,0.73,0.57
3,Thalapathy Kacheri,Anirudh,Vijay,0.96,0.76,0.69
4,Kutti Story,Anirudh,Vijay,0.56,0.56,0.77
5,Oru Pere Varalaaru,Anirudh,Vijay,0.94,0.61,0.37
6,Raavana Mavandaa,Anirudh,Vijay,0.96,0.78,0.26
7,Verithanam,AR Rahman,Vijay,0.88,0.60,0.69
8,Aalaporaan Thamizhan,AR Rahman,Vijay,0.81,0.70,0.74
9,Arabic Kuthu,Anirudh,Vijay,0.76,0.61,0.62
10,Jolly O Gymkhana,Anirudh,Vijay,0.65,0.65,0.78
11,Hukum,Anirudh,Rajinikanth,0.89,0.72,0.53
12,Powerhouse,Anirudh,Rajinikanth,0.96,0.74,0.87
13,Monica,Anirudh,Pooja Hegde,0.76,0.82,0.61
14,Aaya Sher,Anirudh,Nani,0.96,0.71,0.33
15,Raga of Revenge,Anirudh,Lokesh,0.92,0.53,0.14
16,Thee Thalapathy,Thaman,Vijay,0.91,0.67,0.83
17,Ranjithame,Thaman,Vijay,0.98,0.55,0.66
18,Jimikki Ponnu,Anirudh,Vijay,0.83,0.75,0.85
19,Selfie Pulla,Anirudh,Vijay,0.96,0.71,0.77
20,Aathi,Anirudh,Vijay,0.82,0.59,0.44
21,Badass,Anirudh,Vijay,0.87,0.62,0.55
22,Ordinary Person,Anirudh,Vijay,0.85,0.72,0.81
23,Ratata (Leo),Anirudh,Vijay,0.86,0.49,0.41
24,Vaathi Kabaddi,Anirudh,Vijay,0.97,0.63,0.45
25,Top Tucker,AR Rahman,Vijay,0.66,0.72,0.45
26,Bloody Sweet (Leo),Anirudh,Vijay,0.68,0.51,0.25
27,Porkanda Singam,Anirudh,Kamal Haasan,0.59,0.53,0.54
28,Vikram Title Track,Anirudh,Kamal Haasan,0.84,0.64,0.14
29,Devara Fear Song,Anirudh,JR NTR,0.90,0.64,0.44
30,Chuttamalle,Shilpa Rao,JR NTR,0.62,0.68,0.62
31,Oorum Blood,Sai Abhyankkar,Pradeep,0.63,0.70,0.52
32,Kannukulla,Sai Abhyankkar,Pradeep,0.53,0.51,0.39
33,Verappa,Sai Abhyankkar,Suriya,0.95,0.71,0.33
34,Karuppu Kooda Va,Sai Abhyankkar,Suriya,0.74,0.46,0.57
