track_id,title,artist,actor,energy,danceability,valence,image_url
1,Vaathi Coming,Anirudh,Vijay,0.95,0.64,0.58,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/65/38/63/65386384-972b-37a7-159a-9127388bb589/886448346968.jpg/592x592bb.webp
2,Naa Ready,Anirudh,Vijay,0.8,0.73,0.57,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/25/98/e4/2598e434-c0b9-b858-3d8f-38df1ce15c61/196873228334.jpg/1200x630bf-60.jpg
3,Thalapathy Kacheri,Anirudh,Vijay,0.96,0.76,0.69,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/ef/74/eb/ef74eb29-043d-990b-3a83-40fa23db6e58/8903431148827_cover.jpg/400x400bb.jpg
4,Kutti Story,Anirudh,Vijay,0.56,0.56,0.77,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/7b/de/07/7bde076f-5c78-c2fd-f082-da9ec5add04a/886448303596.jpg/360x360bb.webp
5,Oru Pere Varalaaru,Anirudh,Vijay,0.94,0.61,0.37,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/d5/e8/2f/d5e82f3e-f7d0-9294-9082-c23a6be3795e/8903431167262_cover.jpg/400x400bb.jpg
6,Raavana Mavandaa,Anirudh,Vijay,0.96,0.78,0.26,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/ed/6d/7c/ed6d7ce3-a094-7b73-e9dd-20e2ca998d31/8903431171504_cover.jpg/400x400bb.jpg
7,Verithanam,AR Rahman,Vijay,0.88,0.6,0.69,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/59/87/49/598749cf-699b-6e50-b54e-cfc9cc05559c/886447987162.jpg/400x400bb.jpg
8,Aalaporaan Thamizhan,AR Rahman,Vijay,0.81,0.7,0.74,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/c9/36/8f/c9368f60-7281-fdcf-f8fb-9cf7090189d7/886446711492.jpg/400x400bb.jpg
9,Arabic Kuthu,Anirudh,Vijay,0.76,0.61,0.62,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/e9/19/b9/e919b921-d5a8-9e9a-8508-3551da375aee/196626458629.jpg/400x400bb.jpg
10,Jolly O Gymkhana,Anirudh,Vijay,0.65,0.65,0.78,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/c7/fa/af/c7faaf95-47fd-8b73-b231-52794a727b14/196626678881.jpg/400x400bb.jpg
11,Hukum,Anirudh,Rajinikanth,0.89,0.72,0.53,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/2c/df/14/2cdf140e-6d11-a98d-bfbf-bc5e30c3c4a1/197189528187.jpg/400x400bb.jpg
12,Powerhouse,Anirudh,Rajinikanth,0.96,0.74,0.87,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/f0/7c/ec/f07cec97-4d1a-da91-02a1-d1a0421ac840/199538343670.jpg/400x400bb.jpg
13,Monica,Anirudh,Pooja Hegde,0.76,0.82,0.61,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/5c/6f/07/5c6f07b3-173c-31ef-a2eb-cd23548a71d7/199538267020.jpg/400x400bb.jpg
14,Aaya Sher,Anirudh,Nani,0.96,0.71,0.33,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/16/f3/b5/16f3b5b2-c5f1-cfc1-bb63-1f716b7a0b9f/820200469984.jpg/400x400bb.jpg
15,Raga of Revenge,Anirudh,Lokesh,0.92,0.53,0.14,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/83/b3/69/83b3694e-974a-d50b-3eb9-2efd4e66143e/820233486484.jpg/400x400bb.jpg
16,Thee Thalapathy,Thaman,Vijay,0.91,0.67,0.83,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/43/1b/09/431b09fe-336a-8fcc-f9ca-641b1d2ac93f/8903431909145_cover.jpg/400x400bb.jpg
17,Ranjithame,Thaman,Vijay,0.98,0.55,0.66,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/b3/ef/82/b3ef8222-bb2e-3e78-6211-82bc8de47e50/8903431909152_cover.jpg/400x400bb.jpg
18,Jimikki Ponnu,Anirudh,Vijay,0.83,0.75,0.85,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/43/1b/09/431b09fe-336a-8fcc-f9ca-641b1d2ac93f/8903431909145_cover.jpg/400x400bb.jpg
19,Selfie Pulla,Anirudh,Vijay,0.96,0.71,0.77,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/d6/ff/97/d6ff97ce-3f3a-f031-8847-f2f46a15f304/196871094689.jpg/400x400bb.jpg
20,Aathi,Anirudh,Vijay,0.82,0.59,0.44,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/d6/ff/97/d6ff97ce-3f3a-f031-8847-f2f46a15f304/196871094689.jpg/400x400bb.jpg
21,Badass,Anirudh,Vijay,0.87,0.62,0.55,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/f7/20/67/f720671c-c971-4c3d-a20e-a0ee1fedfa9e/196871508544.jpg/592x592bb.webp
22,Ordinary Person,Anirudh,Vijay,0.85,0.72,0.81,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/dd/48/45/dd4845e3-3add-7d7d-88e9-391eac68ef2a/196871570916.jpg/400x400bb.jpg
23,Ratata (Leo),Anirudh,Vijay,0.86,0.49,0.41,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/a5/92/25/a5922515-312a-93f7-524a-51b2733fdafb/196871571036.jpg/400x400bb.jpg
24,Vaathi Kabaddi,Anirudh,Vijay,0.97,0.63,0.45,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/51/8b/43/518b43de-6b57-0726-4d59-f9552f7a5c3b/886449030255.jpg/400x400bb.jpg
25,Top Tucker Sarkar,AR Rahman,Vijay,0.66,0.72,0.45,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/76/21/56/762156e7-cf62-214e-a066-9a0c79a7fc72/886447359471.jpg/400x400bb.jpg
26,Bloody Sweet (Leo),Anirudh,Vijay,0.68,0.51,0.25,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/13/a8/70/13a87001-28ba-1bc7-0ca6-52cf10dd6f52/196871556415.jpg/400x400bb.jpg
27,Porkanda Singam,Anirudh,Kamal Haasan,0.59,0.53,0.54,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/e0/8a/46/e08a4646-feed-5ca6-4c32-ccc3d023fab2/196589272577.jpg/400x400bb.jpg
28,Vikram Title Track,Anirudh,Kamal Haasan,0.84,0.64,0.14,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/41/41/01/41410135-baa0-1aab-7417-f6746b0f3c25/196589186973.jpg/400x400bb.jpg
29,Devara Fear Song,Anirudh,JR NTR,0.9,0.64,0.44,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/1d/c6/af/1dc6af82-69e9-5341-5010-a9223fc25709/8903431001368_cover.jpg/400x400bb.jpg
